instrument_id;name;symbol;alltime_high;first_shaken_at;first_shaken_price;recent_high;last_price
8208;Great Southern Bancorp, Inc.;GSBC;52.45;2007-11-07;21.35;52.45;39.61
8211;GLOBAL SOURCES LTD;GSOL;37.18;2004-06-24;8.84;9.37;7.45
8215;HANMI FINANCIAL CORPORATION;HAFC;183.04;2007-10-24;90.96;27.8;20.57
8216;HAIN CELESTIAL GROUP INC;HAIN;70.15;2002-07-24;6.7;70.15;35
8219;HUNTINGTON BANCSHARES INC;HBAN;25.4;2008-01-10;12.65;11.84;9.15
8221;HANCOCK HOLDING CO;HBHC;57.99;2009-01-21;27.57;32.73;22.29
8224;Hardinge, Inc.;HDNG;39.92;2002-10-10;7.22;11.83;8.99
8225;H&E Equipment Services, Inc.;HEES;41.89;2007-08-15;18.45;27.92;14.88
8226;HELEN OF TROY LTD;HELE;104.52;2005-10-11;17.22;104.52;87.21
8227;HERCULES OFFSHORE INC;HERO;11432.4324324324;2008-08-18;5654.05405405405;278.378378378378;0.99
8229;HERITAGE FINANCIAL CORP;HFWA;29.04;2008-07-02;13.81;19.7;17.41
8233;Hibbett Sports, Inc.;HIBB;67.73;2008-01-07;16.79;52.33;30.19
8239;Hampton Roads Bankshares Inc;HMPR;377;2008-12-29;180.25;2.41;1.67
8240;HMS HOLDINGS CORP;HMSY;36.71;2002-07-15;0.866666666666667;20.65;11.71
8242;HOOKER FURNITURE CORP;HOFT;30.29;2005-05-17;13.89;30.29;28
8244;HOLLYSYS AUTOMATION TECHNOLO;HOLI;26.84;2008-05-27;6.4;26.84;17.36
8245;Hologic, Inc.;HOLX;42.92;2003-02-04;1.9525;42.92;35.21
8251;HEIDRICK & STRUGGLES INTL;HSII;54.5;2003-02-12;11.01;29.77;26.17
8252;HSN, Inc.;HSNI;78.37;2008-10-14;6.84;78.37;48.29
8253;HERITAGE COMMERCE CORP;HTBK;27.25;2008-06-09;12.52;12.25;9.74
8254;HUTCHINSON TECH;HTCH;42.43;2006-06-22;21.04;3.76;3.5
8255;Heartland Express, Inc.;HTLD;27.71;2002-04-24;8.61500215375054;27.29;16.39
8256;Heartland Financial USA, Inc.;HTLF;38.83;2009-01-20;14.65;38.83;27.3
8258;HUB GROUP INC-CL A;HUBG;51.45;2002-08-27;1.045;43.86;29.51
8259;Hurco Companies, Inc.;HURC;60;2002-07-29;1.669;38.26;25.89
8260;HURON CONSULTING GROUP INC;HURN;83.25;2008-03-27;40.63;77.89;54.16
8262;Healthways, Inc.;HWAY;69.34;2002-07-03;7.475;22.75;12.31
8263;IAC/InterActiveCorp;IAC;85.48;2002-10-09;32.44;84.59;53.44
8265;INTEGRA LIFESCIENCES HOLDING;IART;69.82;2002-07-23;16;69.82;62.95
8267;INDEPENDENT BANK CORP - MICH;IBCP;314.9;2007-07-10;149.9;15.7;14.29
8270;INTERACTIVE BROKERS GRO-CL A;IBKR;45.32;2008-11-18;16.61;45.32;33.16
8271;INTERNATIONAL BANCSHARES CRP;IBOC;35.3344;2009-01-20;16.19;30.73;22.22
8272;ICF International, Inc.;ICFI;43;2008-05-09;16.67;43;33.03
8273;ICON PLC;ICLR;88;2002-07-22;8.225;83.28;69.01
